search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-BFV,BKK,BFV,One way,แอร์เอเชีย,FD 4511,Airbus A320,Economy,2026-01-13 16:00,2026-01-13 17:05,65,0,1300,50000,71 ซม.,False,1300,typical
2026-01-13,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3522,Airbus A320,Economy,2026-01-13 06:55,2026-01-13 07:55,60,0,1700,53000,71 ซม.,False,1700,high
2026-01-13,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3520,Airbus A320,Economy,2026-01-13 14:55,2026-01-13 15:55,60,0,2100,53000,71 ซม.,True,1700,high
2026-01-14,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3522,Airbus A320,Economy,2026-01-14 06:55,2026-01-14 07:55,60,0,1500,53000,71 ซม.,False,1500,high
2026-01-14,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3520,Airbus A320,Economy,2026-01-14 15:20,2026-01-14 16:20,60,0,2100,53000,71 ซม.,True,1500,high
2026-01-15,BKK-BFV,BKK,BFV,One way,แอร์เอเชีย,FD 4511,Airbus A320,Economy,2026-01-15 16:00,2026-01-15 17:05,65,0,1200,50000,71 ซม.,False,1200,typical
2026-01-15,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3522,Airbus A320,Economy,2026-01-15 06:55,2026-01-15 07:55,60,0,1500,53000,71 ซม.,False,1500,high
2026-01-15,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3520,Airbus A320,Economy,2026-01-15 14:55,2026-01-15 15:55,60,0,1800,53000,71 ซม.,True,1500,high
2026-01-16,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3522,Airbus A320,Economy,2026-01-16 06:55,2026-01-16 07:55,60,0,1500,53000,71 ซม.,False,1500,high
2026-01-16,DMK-BFV,DMK,BFV,One way,แอร์เอเชีย,FD 3520,Airbus A320,Economy,2026-01-16 15:05,2026-01-16 16:05,60,0,1800,53000,71 ซม.,True,1500,high
