search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-12,BKK-CEI,BKK,CEI,One way,แอร์เอเชีย,FD 4152,Airbus A320,Economy,2026-01-12 14:30,2026-01-12 15:55,85,0,1850,76000,71 ซม.,False,1850,high
2026-01-12,BKK-CEI,BKK,CEI,One way,แอร์เอเชีย,FD 4150,Airbus A320,Economy,2026-01-12 06:50,2026-01-12 08:10,80,0,2150,76000,71 ซม.,False,1850,high
2026-01-12,BKK-CEI,BKK,CEI,One way,การบินไทย,TG 136,Airbus A320,Economy,2026-01-12 16:50,2026-01-12 18:20,90,0,5030,87000,76 ซม.,False,1850,high
2026-01-12,BKK-CEI,BKK,CEI,One way,ไทยเวียดเจ๊ทแอร์,VZ 132,Airbus A320,Economy,2026-01-12 13:50,2026-01-12 15:15,85,0,,76000,71 ซม.,True,1850,high
2026-01-12,BKK-CEI,BKK,CEI,One way,ไทยเวียดเจ๊ทแอร์,VZ 134,Airbus A320,Economy,2026-01-12 18:00,2026-01-12 19:25,85,0,,76000,71 ซม.,True,1850,high
2026-01-12,DMK-CEI,DMK,CEI,One way,ไทยไลอ้อนแอร์,SL 544,Boeing 737,Economy,2026-01-12 18:30,2026-01-12 19:50,80,0,1125,68000,74 ซม.,True,1125,typical
2026-01-12,DMK-CEI,DMK,CEI,One way,แอร์เอเชีย,FD 3209,Airbus A320,Economy,2026-01-12 18:00,2026-01-12 19:20,80,0,1300,74000,71 ซม.,False,1125,typical
2026-01-12,DMK-CEI,DMK,CEI,One way,นกแอร์,DD 108,Boeing 737,Economy,2026-01-12 17:40,2026-01-12 19:05,85,0,1428,74000,74 ซม.,False,1125,typical
2026-01-12,DMK-CEI,DMK,CEI,One way,ไทยไลอ้อนแอร์,SL 532,Boeing 737,Economy,2026-01-12 08:10,2026-01-12 09:35,85,0,1125,68000,74 ซม.,False,1125,typical
2026-01-12,DMK-CEI,DMK,CEI,One way,ไทยไลอ้อนแอร์,SL 538,Boeing 737,Economy,2026-01-12 12:35,2026-01-12 14:00,85,0,1425,68000,74 ซม.,True,1125,typical
2026-01-12,DMK-CEI,DMK,CEI,One way,นกแอร์,DD 102,Boeing 737,Economy,2026-01-12 08:05,2026-01-12 09:30,85,0,1428,74000,74 ซม.,False,1125,typical
