search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-12,BKK-CNX,BKK,CNX,One way,แอร์เอเชีย,FD 4096,Airbus A320,Economy,2026-01-12 20:20,2026-01-12 21:50,90,0,2401,69000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,แอร์เอเชีย,FD 4102,Airbus A320,Economy,2026-01-12 20:55,2026-01-12 22:20,85,0,2401,69000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,การบินไทย,TG 102,Airbus A320,Economy,2026-01-12 07:25,2026-01-12 08:45,80,0,3430,78000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 110,Boeing 737,Economy,2026-01-12 12:10,2026-01-12 13:35,85,0,,89000,71 ซม.,True,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,แอร์เอเชีย,FD 4104,Airbus A320,Economy,2026-01-12 10:30,2026-01-12 11:50,80,0,3000,69000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,แอร์เอเชีย,FD 4120,Airbus A320,Economy,2026-01-12 15:25,2026-01-12 16:50,85,0,3000,69000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,แอร์เอเชีย,FD 4108,Airbus A320,Economy,2026-01-12 16:25,2026-01-12 17:45,80,0,3000,69000,71 ซม.,True,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,แอร์เอเชีย,FD 4106,Airbus A320,Economy,2026-01-12 12:35,2026-01-12 14:00,85,0,3300,69000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,บางกอกแอร์เวย์ส,PG 223,Airbus A319,Economy,2026-01-12 10:00,2026-01-12 11:20,80,0,4580,79000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,บางกอกแอร์เวย์ส,PG 219,Airbus A319,Economy,2026-01-12 19:35,2026-01-12 21:00,85,0,4580,82000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,การบินไทย,TG 120,Airbus A320,Economy,2026-01-12 19:05,2026-01-12 20:25,80,0,4930,78000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,บางกอกแอร์เวย์ส,PG 215,Airbus A319,Economy,2026-01-12 08:05,2026-01-12 09:25,80,0,5195,82000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,บางกอกแอร์เวย์ส,PG 225,Airbus A319,Economy,2026-01-12 12:25,2026-01-12 13:45,80,0,5195,82000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,การบินไทย,TG 104,Airbus A320,Economy,2026-01-12 10:15,2026-01-12 11:30,75,0,6265,78000,76 ซม.,True,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,การบินไทย,TG 110,Airbus A320,Economy,2026-01-12 13:30,2026-01-12 14:45,75,0,6265,78000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,การบินไทย,TG 112,Airbus A320,Economy,2026-01-12 15:05,2026-01-12 16:25,80,0,6265,78000,76 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 100,Airbus A320,Economy,2026-01-12 06:35,2026-01-12 08:00,85,0,,69000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 114,Boeing 737,Economy,2026-01-12 07:55,2026-01-12 09:20,85,0,,89000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 102,Airbus A320,Economy,2026-01-12 10:25,2026-01-12 11:45,80,0,,69000,71 ซม.,True,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 106,Airbus A320,Economy,2026-01-12 14:20,2026-01-12 15:45,85,0,,69000,71 ซม.,True,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 108,Airbus A320,Economy,2026-01-12 15:15,2026-01-12 16:45,90,0,,69000,71 ซม.,True,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 2106,Boeing 737,Economy,2026-01-12 19:00,2026-01-12 20:30,90,0,,89000,71 ซม.,False,2401,high
2026-01-12,BKK-CNX,BKK,CNX,One way,ไทยเวียดเจ๊ทแอร์,VZ 118,Boeing 737,Economy,2026-01-12 20:35,2026-01-12 21:55,80,0,,89000,71 ซม.,True,2401,high
