search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-HDY,BKK,HDY,One way,แอร์เอเชีย,FD 4204,Airbus A320,Economy,2026-01-13 16:30,2026-01-13 18:00,90,0,1500,78000,71 ซม.,False,1500,typical
2026-01-13,BKK-HDY,BKK,HDY,One way,แอร์เอเชีย,FD 4202,Airbus A320,Economy,2026-01-13 08:30,2026-01-13 10:00,90,0,1700,78000,71 ซม.,False,1500,typical
2026-01-13,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 267,Airbus A320,Economy,2026-01-13 18:30,2026-01-13 20:00,90,0,1855,89000,76 ซม.,True,1500,typical
2026-01-13,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 259,Airbus A320,Economy,2026-01-13 06:35,2026-01-13 08:05,90,0,2055,89000,76 ซม.,False,1500,typical
2026-01-13,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 263,Airbus A320,Economy,2026-01-13 12:30,2026-01-13 14:00,90,0,2130,89000,76 ซม.,False,1500,typical
2026-01-13,BKK-HDY,BKK,HDY,One way,ไทยเวียดเจ๊ทแอร์,VZ 324,Boeing 737,Economy,2026-01-13 11:00,2026-01-13 12:30,90,0,,102000,71 ซม.,False,1500,typical
2026-01-13,BKK-HDY,BKK,HDY,One way,บางกอกแอร์เวย์ส,PG 287,Airbus A319,Economy,2026-01-13 21:30,2026-01-14 21:40,1450,1,5195,140000,76 ซม.,False,1500,typical
2026-01-13,BKK-HDY,BKK,HDY,One way,ไทยเวียดเจ๊ทแอร์,VZ 328,Boeing 737,Economy,2026-01-13 19:50,2026-01-13 21:15,85,0,,102000,71 ซม.,False,1500,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 716,Boeing 737,Economy,2026-01-13 18:30,2026-01-13 19:55,85,0,1325,80000,79 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 724,Boeing 737,Economy,2026-01-13 19:45,2026-01-13 21:10,85,0,1325,80000,79 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3118,Airbus A321neo,Economy,2026-01-13 19:25,2026-01-13 20:55,90,0,1600,61000,71 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 710,Boeing 737,Economy,2026-01-13 12:25,2026-01-13 13:45,80,0,1525,73000,74 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 714,Boeing 737,Economy,2026-01-13 14:55,2026-01-13 16:25,90,0,1525,73000,74 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 718,Boeing 737,Economy,2026-01-13 17:25,2026-01-13 18:45,80,0,1525,72000,74 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3110,Airbus A320,Economy,2026-01-13 18:40,2026-01-13 20:15,95,0,1600,80000,71 ซม.,False,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3112,Airbus A320,Economy,2026-01-13 21:00,2026-01-13 22:30,90,0,1600,80000,71 ซม.,False,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 702,Boeing 737,Economy,2026-01-13 06:15,2026-01-13 07:45,90,0,1825,80000,79 ซม.,False,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 704,Boeing 737,Economy,2026-01-13 08:35,2026-01-13 10:05,90,0,1825,72000,74 ซม.,False,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 706,Boeing 737,Economy,2026-01-13 10:40,2026-01-13 12:05,85,0,1825,73000,74 ซม.,False,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 708,Boeing 737,Economy,2026-01-13 11:20,2026-01-13 12:45,85,0,1825,80000,79 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3114,Airbus A320,Economy,2026-01-13 16:05,2026-01-13 17:40,95,0,1900,80000,71 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3102,Airbus A320,Economy,2026-01-13 06:35,2026-01-13 08:05,90,0,2330,80000,71 ซม.,False,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3106,Airbus A321neo,Economy,2026-01-13 10:45,2026-01-13 12:20,95,0,2330,61000,71 ซม.,False,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3108,Airbus A320,Economy,2026-01-13 13:30,2026-01-13 15:00,90,0,2530,80000,71 ซม.,True,1325,typical
2026-01-13,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3116,Airbus A320,Economy,2026-01-13 07:10,2026-01-13 08:45,95,0,3000,80000,71 ซม.,False,1325,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,แอร์เอเชีย,FD 4202,Airbus A320,Economy,2026-01-14 08:30,2026-01-14 10:00,90,0,1500,78000,71 ซม.,False,1500,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,แอร์เอเชีย,FD 4204,Airbus A320,Economy,2026-01-14 16:30,2026-01-14 18:00,90,0,1500,78000,71 ซม.,False,1500,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 259,Airbus A320,Economy,2026-01-14 06:35,2026-01-14 08:05,90,0,1855,89000,76 ซม.,False,1500,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 263,Airbus A320,Economy,2026-01-14 12:30,2026-01-14 14:00,90,0,1855,89000,76 ซม.,False,1500,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 267,Airbus A320,Economy,2026-01-14 18:30,2026-01-14 20:00,90,0,1855,89000,76 ซม.,True,1500,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,ไทยเวียดเจ๊ทแอร์,VZ 324,Boeing 737,Economy,2026-01-14 11:00,2026-01-14 12:30,90,0,,102000,71 ซม.,False,1500,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,บางกอกแอร์เวย์ส,PG 287,Airbus A319,Economy,2026-01-14 21:30,2026-01-15 21:40,1450,1,6495,140000,76 ซม.,False,1500,typical
2026-01-14,BKK-HDY,BKK,HDY,One way,ไทยเวียดเจ๊ทแอร์,VZ 328,Boeing 737,Economy,2026-01-14 19:50,2026-01-14 21:15,85,0,,102000,71 ซม.,False,1500,typical
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 724,Boeing 737,Economy,2026-01-14 19:45,2026-01-14 21:10,85,0,800,80000,79 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,นกแอร์,DD 504,Boeing 737,Economy,2026-01-14 12:55,2026-01-14 14:25,90,0,1378,80000,74 ซม.,False,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3106,Airbus A321neo,Economy,2026-01-14 10:45,2026-01-14 12:20,95,0,1600,61000,71 ซม.,False,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 704,Boeing 737,Economy,2026-01-14 08:35,2026-01-14 10:05,90,0,1325,73000,74 ซม.,False,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 706,Boeing 737,Economy,2026-01-14 10:40,2026-01-14 12:05,85,0,1325,73000,74 ซม.,False,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 708,Boeing 737,Economy,2026-01-14 11:20,2026-01-14 12:45,85,0,1325,80000,79 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 710,Boeing 737,Economy,2026-01-14 12:25,2026-01-14 13:45,80,0,1325,73000,74 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 716,Boeing 737,Economy,2026-01-14 18:30,2026-01-14 19:55,85,0,1325,80000,79 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 702,Boeing 737,Economy,2026-01-14 06:15,2026-01-14 07:45,90,0,1525,73000,74 ซม.,False,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 714,Boeing 737,Economy,2026-01-14 14:55,2026-01-14 16:25,90,0,1525,80000,79 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3110,Airbus A320,Economy,2026-01-14 18:40,2026-01-14 20:15,95,0,1600,80000,71 ซม.,False,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3118,Airbus A321neo,Economy,2026-01-14 19:25,2026-01-14 20:55,90,0,1600,61000,71 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3112,Airbus A320,Economy,2026-01-14 20:50,2026-01-14 22:20,90,0,1600,80000,71 ซม.,False,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3108,Airbus A320,Economy,2026-01-14 13:30,2026-01-14 15:00,90,0,2330,80000,71 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3114,Airbus A320,Economy,2026-01-14 16:05,2026-01-14 17:40,95,0,2330,80000,71 ซม.,True,800,low
2026-01-14,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3102,Airbus A320,Economy,2026-01-14 06:35,2026-01-14 08:05,90,0,3000,80000,71 ซม.,False,800,low
2026-01-15,BKK-HDY,BKK,HDY,One way,แอร์เอเชีย,FD 4202,Airbus A320,Economy,2026-01-15 08:30,2026-01-15 10:00,90,0,1500,78000,71 ซม.,False,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,แอร์เอเชีย,FD 4204,Airbus A320,Economy,2026-01-15 16:30,2026-01-15 18:00,90,0,1500,78000,71 ซม.,False,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 263,Airbus A320,Economy,2026-01-15 12:30,2026-01-15 14:00,90,0,1855,89000,76 ซม.,False,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 267,Airbus A320,Economy,2026-01-15 18:30,2026-01-15 20:00,90,0,1855,89000,76 ซม.,True,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,การบินไทย,TG 259,Airbus A320,Economy,2026-01-15 06:35,2026-01-15 08:05,90,0,2130,89000,76 ซม.,False,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,ไทยเวียดเจ๊ทแอร์,VZ 324,Boeing 737,Economy,2026-01-15 11:00,2026-01-15 12:30,90,0,,102000,71 ซม.,False,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,บางกอกแอร์เวย์ส,PG 287,Airbus A319,Economy,2026-01-15 21:30,2026-01-16 21:40,1450,1,8295,140000,76 ซม.,False,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,ไทยเวียดเจ๊ทแอร์,VZ 320,Boeing 737,Economy,2026-01-15 07:10,2026-01-15 08:40,90,0,,102000,71 ซม.,False,1500,typical
2026-01-15,BKK-HDY,BKK,HDY,One way,ไทยเวียดเจ๊ทแอร์,VZ 328,Boeing 737,Economy,2026-01-15 19:50,2026-01-15 21:15,85,0,,102000,71 ซม.,False,1500,typical
2026-01-15,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 704,Boeing 737,Economy,2026-01-15 08:35,2026-01-15 10:05,90,0,1125,72000,74 ซม.,False,1125,typical
2026-01-15,DMK-HDY,DMK,HDY,One way,ไทยไลอ้อนแอร์,SL 724,Boeing 737,Economy,2026-01-15 19:45,2026-01-15 21:10,85,0,1125,80000,79 ซม.,True,1125,typical
2026-01-15,DMK-HDY,DMK,HDY,One way,แอร์เอเชีย,FD 3102,Airbus A320,Economy,2026-01-15 06:35,2026-01-15 08:05,90,0,1200,80000,71 ซม.,False,1125,typical
