search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-KBV,BKK,KBV,One way,แอร์เอเชีย,FD 4402,Airbus A320,Economy,2026-01-13 06:35,2026-01-13 08:00,85,0,1400,73000,71 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,แอร์เอเชีย,FD 4408,Airbus A320,Economy,2026-01-13 18:25,2026-01-13 20:00,95,0,1650,73000,71 ซม.,True,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,บางกอกแอร์เวย์ส,PG 263,Airbus A319,Economy,2026-01-13 20:25,2026-01-13 21:50,85,0,2730,84000,76 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 342,Boeing 737,Economy,2026-01-13 14:25,2026-01-13 15:55,90,0,,95000,71 ซม.,True,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,แอร์เอเชีย,FD 4400,Airbus A320,Economy,2026-01-13 14:10,2026-01-13 15:35,85,0,2650,73000,71 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,บางกอกแอร์เวย์ส,PG 261,Airbus A319,Economy,2026-01-13 07:05,2026-01-13 08:35,90,0,2730,88000,76 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,การบินไทย,TG 241,Airbus A320,Economy,2026-01-13 07:35,2026-01-13 08:55,80,0,4240,83000,76 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,การบินไทย,TG 249,Airbus A320,Economy,2026-01-13 18:25,2026-01-13 19:50,85,0,5325,83000,76 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 340,Boeing 737,Economy,2026-01-13 07:05,2026-01-13 08:30,85,0,,95000,71 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 2342,Boeing 737,Economy,2026-01-13 17:00,2026-01-13 18:25,85,0,,95000,71 ซม.,False,1400,typical
2026-01-13,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 344,Boeing 737,Economy,2026-01-13 18:40,2026-01-13 20:10,90,0,,95000,71 ซม.,False,1400,typical
2026-01-13,DMK-KBV,DMK,KBV,One way,ไทยไลอ้อนแอร์,SL 800,Boeing 737,Economy,2026-01-13 06:25,2026-01-13 07:45,80,0,800,68000,74 ซม.,False,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3215,Airbus A320,Economy,2026-01-13 17:15,2026-01-13 18:40,85,0,1100,74000,71 ซม.,False,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,ไทยไลอ้อนแอร์,SL 806,Boeing 737,Economy,2026-01-13 08:55,2026-01-13 10:20,85,0,1125,74000,79 ซม.,False,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,ไทยไลอ้อนแอร์,SL 812,Boeing 737,Economy,2026-01-13 17:10,2026-01-13 18:35,85,0,1125,74000,79 ซม.,True,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,นกแอร์,DD 546,Boeing 737,Economy,2026-01-13 16:35,2026-01-13 18:00,85,0,1253,74000,74 ซม.,False,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3227,Airbus A320neo,Economy,2026-01-13 19:20,2026-01-13 20:50,90,0,1100,62000,71 ซม.,True,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3221,Airbus A321neo,Economy,2026-01-13 07:00,2026-01-13 08:20,80,0,1400,57000,71 ซม.,False,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3225,Airbus A320,Economy,2026-01-13 14:50,2026-01-13 16:15,85,0,1400,74000,71 ซม.,True,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3223,Airbus A321neo,Economy,2026-01-13 15:55,2026-01-13 17:15,80,0,1400,57000,71 ซม.,True,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3229,Airbus A320neo,Economy,2026-01-13 09:25,2026-01-13 10:50,85,0,1650,62000,71 ซม.,True,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3212,Airbus A321neo,Economy,2026-01-13 10:45,2026-01-13 12:10,85,0,1650,57000,71 ซม.,False,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3217,Airbus A320neo,Economy,2026-01-13 12:15,2026-01-13 13:45,90,0,1650,62000,71 ซม.,True,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3213,Airbus A321neo,Economy,2026-01-13 13:55,2026-01-13 15:20,85,0,1650,57000,71 ซม.,False,800,low
2026-01-13,DMK-KBV,DMK,KBV,One way,นกแอร์,DD 542,Boeing 737,Economy,2026-01-13 09:50,2026-01-13 11:15,85,0,1978,74000,74 ซม.,False,800,low
2026-01-14,BKK-KBV,BKK,KBV,One way,แอร์เอเชีย,FD 4402,Airbus A320,Economy,2026-01-14 06:35,2026-01-14 08:00,85,0,1400,73000,71 ซม.,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,แอร์เอเชีย,FD 4408,Airbus A320,Economy,2026-01-14 18:25,2026-01-14 20:00,95,0,1650,73000,71 ซม.,True,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,บางกอกแอร์เวย์ส,PG 261,Airbus A319,Economy,2026-01-14 07:05,2026-01-14 08:35,90,0,2380,88000,76 ซม.,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,การบินไทย,TG 249,Airbus A320,Economy,2026-01-14 18:25,2026-01-14 19:50,85,0,2855,83000,76 ซม.,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 342,Boeing 737,Economy,2026-01-14 14:25,2026-01-14 15:55,90,0,,95000,71 ซม.,True,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,แอร์เอเชีย,FD 4400,Airbus A320,Economy,2026-01-14 14:10,2026-01-14 15:35,85,0,2650,73000,71 ซม.,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,บางกอกแอร์เวย์ส,PG 263,Airbus A319,Economy,2026-01-14 20:25,2026-01-14 21:50,85,0,2730,84000,76 ซม.,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,การบินไทย,TG 241,Airbus A320,Business Class,2026-01-14 07:35,2026-01-14 08:55,80,0,6735,125000,,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 340,Boeing 737,Economy,2026-01-14 07:05,2026-01-14 08:30,85,0,,95000,71 ซม.,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 2342,Boeing 737,Economy,2026-01-14 17:00,2026-01-14 18:25,85,0,,95000,71 ซม.,False,1400,typical
2026-01-14,BKK-KBV,BKK,KBV,One way,ไทยเวียดเจ๊ทแอร์,VZ 344,Boeing 737,Economy,2026-01-14 18:40,2026-01-14 20:10,90,0,,95000,71 ซม.,False,1400,typical
2026-01-14,DMK-KBV,DMK,KBV,One way,ไทยไลอ้อนแอร์,SL 800,Boeing 737,Economy,2026-01-14 06:25,2026-01-14 07:45,80,0,800,67000,74 ซม.,False,800,low
2026-01-14,DMK-KBV,DMK,KBV,One way,ไทยไลอ้อนแอร์,SL 806,Boeing 737,Economy,2026-01-14 08:55,2026-01-14 10:20,85,0,800,68000,74 ซม.,False,800,low
2026-01-14,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3221,Airbus A320,Economy,2026-01-14 07:00,2026-01-14 08:20,80,0,1100,74000,71 ซม.,False,800,low
2026-01-14,DMK-KBV,DMK,KBV,One way,แอร์เอเชีย,FD 3227,Airbus A320neo,Economy,2026-01-14 20:05,2026-01-14 21:35,90,0,1100,62000,71 ซม.,True,800,low
