search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-KKC,BKK,KKC,One way,แอร์เอเชีย,FD 4501,Airbus A320,Economy,2026-01-13 11:10,2026-01-13 12:30,80,0,1000,55000,71 ซม.,False,1000,typical
2026-01-13,BKK-KKC,BKK,KKC,One way,แอร์เอเชีย,FD 4503,Airbus A320,Economy,2026-01-13 19:10,2026-01-13 20:20,70,0,1000,55000,71 ซม.,False,1000,typical
2026-01-13,BKK-KKC,BKK,KKC,One way,การบินไทย,TG 40,Airbus A320,Economy,2026-01-13 06:55,2026-01-13 07:55,60,0,1390,62000,76 ซม.,False,1000,typical
2026-01-13,BKK-KKC,BKK,KKC,One way,การบินไทย,TG 46,Airbus A320,Economy,2026-01-13 19:40,2026-01-13 20:40,60,0,1390,62000,76 ซม.,True,1000,typical
2026-01-13,BKK-KKC,BKK,KKC,One way,ไทยเวียดเจ๊ทแอร์,VZ 210,Airbus A321,Economy,2026-01-13 07:05,2026-01-13 08:10,65,0,,60000,71 ซม.,False,1000,typical
2026-01-13,BKK-KKC,BKK,KKC,One way,การบินไทย,TG 44,Airbus A320,Economy,2026-01-13 14:10,2026-01-13 15:10,60,0,2510,62000,76 ซม.,True,1000,typical
2026-01-13,BKK-KKC,BKK,KKC,One way,การบินไทย,TG 42,Airbus A320,Economy,2026-01-13 10:25,2026-01-13 11:25,60,0,3190,62000,76 ซม.,False,1000,typical
2026-01-13,BKK-KKC,BKK,KKC,One way,ไทยเวียดเจ๊ทแอร์,VZ 214,Airbus A321,Economy,2026-01-13 17:25,2026-01-13 18:30,65,0,,60000,71 ซม.,True,1000,typical
2026-01-13,DMK-KKC,DMK,KKC,One way,ไทยไลอ้อนแอร์,SL 642,Boeing 737,Economy,2026-01-13 08:00,2026-01-13 09:10,70,0,1025,57000,79 ซม.,False,1025,high
2026-01-13,DMK-KKC,DMK,KKC,One way,ไทยไลอ้อนแอร์,SL 644,Boeing 737,Economy,2026-01-13 11:00,2026-01-13 12:00,60,0,1025,57000,79 ซม.,False,1025,high
2026-01-13,DMK-KKC,DMK,KKC,One way,ไทยไลอ้อนแอร์,SL 646,Boeing 737,Economy,2026-01-13 15:40,2026-01-13 16:50,70,0,1025,57000,79 ซม.,True,1025,high
2026-01-13,DMK-KKC,DMK,KKC,One way,ไทยไลอ้อนแอร์,SL 648,Boeing 737,Economy,2026-01-13 18:15,2026-01-13 19:20,65,0,1025,57000,79 ซม.,False,1025,high
2026-01-13,DMK-KKC,DMK,KKC,One way,แอร์เอเชีย,FD 3254,Airbus A321neo,Economy,2026-01-13 12:20,2026-01-13 13:30,70,0,1050,43000,71 ซม.,False,1025,high
2026-01-13,DMK-KKC,DMK,KKC,One way,แอร์เอเชีย,FD 3248,Airbus A320,Economy,2026-01-13 10:45,2026-01-13 11:50,65,0,1300,57000,71 ซม.,True,1025,high
2026-01-13,DMK-KKC,DMK,KKC,One way,แอร์เอเชีย,FD 3256,Airbus A320,Economy,2026-01-13 17:55,2026-01-13 19:00,65,0,1300,57000,71 ซม.,False,1025,high
