search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-13 16:05,2026-01-13 17:10,65,0,1500,48000,71 ซม.,True,1500,high
2026-01-13,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-13 11:40,2026-01-13 12:50,70,0,1750,58000,71 ซม.,True,1500,high
2026-01-14,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320,Economy,2026-01-14 16:30,2026-01-14 17:30,60,0,1350,58000,71 ซม.,True,1350,typical
2026-01-14,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-14 11:40,2026-01-14 12:50,70,0,1750,58000,71 ซม.,True,1350,typical
2026-01-15,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320,Economy,2026-01-15 16:05,2026-01-15 17:10,65,0,1500,58000,71 ซม.,True,1500,high
2026-01-15,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-15 11:40,2026-01-15 12:50,70,0,1950,58000,71 ซม.,True,1500,high
2026-01-16,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-16 15:50,2026-01-16 17:00,70,0,1950,48000,71 ซม.,True,1950,high
2026-01-16,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-16 11:50,2026-01-16 13:00,70,0,4200,58000,71 ซม.,True,1950,high
2026-01-17,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-17 16:15,2026-01-17 17:20,65,0,1350,48000,71 ซม.,True,1350,typical
2026-01-17,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-17 11:40,2026-01-17 12:50,70,0,1950,58000,71 ซม.,True,1350,typical
2026-01-18,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-18 11:40,2026-01-18 12:50,70,0,1350,58000,71 ซม.,True,1350,typical
2026-01-18,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320,Economy,2026-01-18 15:50,2026-01-18 17:00,70,0,1500,58000,71 ซม.,True,1350,typical
2026-01-19,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-19 15:50,2026-01-19 17:00,70,0,1500,48000,71 ซม.,True,1500,high
2026-01-19,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-19 11:40,2026-01-19 12:50,70,0,1750,58000,71 ซม.,True,1500,high
2026-01-20,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-20 16:00,2026-01-20 17:10,70,0,1250,48000,71 ซม.,True,1250,typical
2026-01-20,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-20 11:40,2026-01-20 12:50,70,0,1500,58000,71 ซม.,True,1250,typical
2026-01-21,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-21 11:40,2026-01-21 12:50,70,0,1350,58000,71 ซม.,True,1350,typical
2026-01-21,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320,Economy,2026-01-21 16:40,2026-01-21 17:45,65,0,1350,58000,71 ซม.,True,1350,typical
2026-01-22,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-22 11:40,2026-01-22 12:50,70,0,1350,58000,71 ซม.,True,1350,typical
2026-01-22,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-22 15:55,2026-01-22 17:00,65,0,1350,48000,71 ซม.,True,1350,typical
2026-01-23,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-23 15:50,2026-01-23 17:00,70,0,2450,48000,71 ซม.,True,2450,high
2026-01-24,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-24 15:50,2026-01-24 16:55,65,0,1250,48000,71 ซม.,True,1250,typical
2026-01-24,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-24 11:40,2026-01-24 12:50,70,0,1500,58000,71 ซม.,True,1250,typical
2026-01-25,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-25 11:40,2026-01-25 12:50,70,0,1250,58000,71 ซม.,True,1250,typical
2026-01-25,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320,Economy,2026-01-25 15:50,2026-01-25 17:00,70,0,1250,58000,71 ซม.,True,1250,typical
2026-01-26,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-26 15:50,2026-01-26 16:55,65,0,1050,48000,71 ซม.,True,1050,typical
2026-01-26,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-26 11:35,2026-01-26 12:45,70,0,1250,58000,71 ซม.,True,1050,typical
2026-01-27,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-27 11:40,2026-01-27 12:50,70,0,1050,58000,71 ซม.,True,1050,typical
2026-01-27,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-27 15:55,2026-01-27 17:00,65,0,1050,48000,71 ซม.,True,1050,typical
2026-01-28,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-28 11:40,2026-01-28 12:50,70,0,1050,58000,71 ซม.,True,1050,typical
2026-01-28,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320,Economy,2026-01-28 16:40,2026-01-28 17:45,65,0,1050,58000,71 ซม.,True,1050,typical
2026-01-29,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-29 11:40,2026-01-29 12:50,70,0,1050,58000,71 ซม.,True,1050,typical
2026-01-29,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-29 15:55,2026-01-29 17:00,65,0,1050,48000,71 ซม.,True,1050,typical
2026-01-30,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-30 15:50,2026-01-30 17:00,70,0,1050,48000,71 ซม.,True,1050,typical
2026-01-30,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-30 11:50,2026-01-30 13:00,70,0,1350,58000,71 ซม.,True,1050,typical
2026-01-31,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320neo,Economy,2026-01-31 16:15,2026-01-31 17:20,65,0,1050,48000,71 ซม.,True,1050,typical
2026-01-31,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-01-31 11:40,2026-01-31 12:50,70,0,1250,58000,71 ซม.,True,1050,typical
2026-02-01,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3542,Airbus A320,Economy,2026-02-01 11:25,2026-02-01 12:35,70,0,1050,58000,71 ซม.,True,1050,typical
2026-02-01,DMK-LOE,DMK,LOE,One way,แอร์เอเชีย,FD 3548,Airbus A320,Economy,2026-02-01 15:50,2026-02-01 17:00,70,0,1050,58000,71 ซม.,True,1050,typical
