search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-13 17:00,2026-01-13 18:10,70,0,1550,52000,71 ซม.,True,1550,typical
2026-01-13,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-13 11:10,2026-01-13 12:20,70,0,2000,63000,71 ซม.,False,1550,typical
2026-01-14,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-14 17:00,2026-01-14 18:10,70,0,1750,52000,71 ซม.,True,1750,typical
2026-01-14,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-14 10:55,2026-01-14 12:05,70,0,2000,63000,71 ซม.,False,1750,typical
2026-01-15,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-15 17:00,2026-01-15 18:10,70,0,1750,52000,71 ซม.,True,1750,typical
2026-01-15,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-15 11:10,2026-01-15 12:20,70,0,2000,63000,71 ซม.,False,1750,typical
2026-01-16,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-16 17:00,2026-01-16 18:10,70,0,2300,52000,71 ซม.,True,2300,high
2026-01-16,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-16 11:10,2026-01-16 12:20,70,0,2600,63000,71 ซม.,False,2300,high
2026-01-17,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-17 17:00,2026-01-17 18:10,70,0,1750,52000,71 ซม.,True,1750,typical
2026-01-17,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-17 11:10,2026-01-17 12:20,70,0,2300,63000,71 ซม.,False,1750,typical
2026-01-18,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-18 11:00,2026-01-18 12:10,70,0,1750,63000,71 ซม.,False,1750,typical
2026-01-18,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-18 17:00,2026-01-18 18:10,70,0,1750,52000,71 ซม.,True,1750,typical
2026-01-19,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-19 17:00,2026-01-19 18:10,70,0,1550,52000,71 ซม.,True,1550,typical
2026-01-19,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-19 11:05,2026-01-19 12:15,70,0,2300,63000,71 ซม.,False,1550,typical
2026-01-20,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-20 17:00,2026-01-20 18:10,70,0,1250,52000,71 ซม.,True,1250,typical
2026-01-20,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-20 11:10,2026-01-20 12:20,70,0,1550,63000,71 ซม.,False,1250,typical
2026-01-21,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-21 10:55,2026-01-21 12:05,70,0,1250,63000,71 ซม.,False,1250,typical
2026-01-21,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-21 17:00,2026-01-21 18:10,70,0,1250,52000,71 ซม.,True,1250,typical
2026-01-22,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-22 17:00,2026-01-22 18:10,70,0,1250,52000,71 ซม.,True,1250,typical
2026-01-22,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-22 11:10,2026-01-22 12:20,70,0,1550,63000,71 ซม.,False,1250,typical
2026-01-23,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-23 17:00,2026-01-23 18:10,70,0,1550,52000,71 ซม.,True,1550,typical
2026-01-23,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-23 11:10,2026-01-23 12:20,70,0,1750,63000,71 ซม.,False,1550,typical
2026-01-24,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-24 17:00,2026-01-24 18:10,70,0,1250,52000,71 ซม.,True,1250,typical
2026-01-24,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-24 11:00,2026-01-24 12:10,70,0,1750,63000,71 ซม.,False,1250,typical
2026-01-25,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-25 17:45,2026-01-25 18:45,60,0,1250,52000,71 ซม.,True,1250,typical
2026-01-25,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-25 11:10,2026-01-25 12:20,70,0,1550,63000,71 ซม.,False,1250,typical
2026-01-26,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-26 11:05,2026-01-26 12:15,70,0,1150,63000,71 ซม.,False,1150,typical
2026-01-26,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-26 17:00,2026-01-26 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-01-27,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-27 11:10,2026-01-27 12:20,70,0,1150,63000,71 ซม.,False,1150,typical
2026-01-27,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-27 17:00,2026-01-27 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-01-28,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-28 10:55,2026-01-28 12:05,70,0,1150,63000,71 ซม.,False,1150,typical
2026-01-28,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-28 17:00,2026-01-28 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-01-29,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-29 11:10,2026-01-29 12:20,70,0,1150,63000,71 ซม.,False,1150,typical
2026-01-29,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-29 17:00,2026-01-29 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-01-30,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-30 10:55,2026-01-30 12:00,65,0,1300,63000,71 ซม.,False,1300,typical
2026-01-30,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-30 16:55,2026-01-30 18:05,70,0,1300,52000,71 ซม.,True,1300,typical
2026-01-31,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-01-31 11:10,2026-01-31 12:20,70,0,1150,63000,71 ซม.,False,1150,typical
2026-01-31,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-01-31 17:00,2026-01-31 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-02-01,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-02-01 11:10,2026-02-01 12:20,70,0,1150,63000,71 ซม.,False,1150,typical
2026-02-01,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-02-01 17:00,2026-02-01 18:10,70,0,1300,52000,71 ซม.,True,1150,typical
2026-02-02,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-02-02 11:10,2026-02-02 12:20,70,0,1150,63000,71 ซม.,False,1150,typical
2026-02-02,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-02-02 17:00,2026-02-02 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-02-03,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-02-03 11:10,2026-02-03 12:20,70,0,1150,63000,71 ซม.,False,1150,typical
2026-02-03,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-02-03 17:00,2026-02-03 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-02-04,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-02-04 17:00,2026-02-04 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-02-04,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-02-04 11:10,2026-02-04 12:20,70,0,1300,63000,71 ซม.,False,1150,typical
2026-02-05,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-02-05 17:00,2026-02-05 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-02-05,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-02-05 11:10,2026-02-05 12:20,70,0,1300,63000,71 ซม.,False,1150,typical
2026-02-06,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-02-06 11:10,2026-02-06 12:20,70,0,1300,63000,71 ซม.,False,1300,typical
2026-02-06,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-02-06 17:00,2026-02-06 18:10,70,0,1300,52000,71 ซม.,True,1300,typical
2026-02-07,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3925,Airbus A320neo,Economy,2026-02-07 17:00,2026-02-07 18:10,70,0,1150,52000,71 ซม.,True,1150,typical
2026-02-07,DMK-LPT,DMK,LPT,One way,แอร์เอเชีย,FD 3923,Airbus A320,Economy,2026-02-07 11:10,2026-02-07 12:20,70,0,1500,63000,71 ซม.,False,1150,typical
