search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-13 11:15,2026-01-13 12:55,100,0,1690,82000,71 ซม.,False,1690,typical
2026-01-13,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-13 13:45,2026-01-13 15:20,95,0,1590,84000,71 ซม.,True,1590,typical
2026-01-13,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-13 10:35,2026-01-13 12:10,95,0,1790,84000,71 ซม.,False,1590,typical
2026-01-14,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-14 11:15,2026-01-14 12:55,100,0,1590,82000,71 ซม.,False,1590,typical
2026-01-14,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-14 10:35,2026-01-14 12:10,95,0,1590,84000,71 ซม.,False,1590,typical
2026-01-14,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-14 13:50,2026-01-14 15:20,90,0,1590,84000,71 ซม.,True,1590,typical
2026-01-15,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-15 11:15,2026-01-15 12:55,100,0,1590,82000,71 ซม.,False,1590,typical
2026-01-15,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-15 10:35,2026-01-15 12:10,95,0,1590,84000,71 ซม.,False,1590,typical
2026-01-15,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-15 13:45,2026-01-15 15:20,95,0,1590,84000,71 ซม.,True,1590,typical
2026-01-16,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-16 11:15,2026-01-16 12:55,100,0,1590,82000,71 ซม.,False,1590,typical
2026-01-16,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-16 10:35,2026-01-16 12:10,95,0,1790,84000,71 ซม.,False,1790,typical
2026-01-16,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-16 13:45,2026-01-16 15:20,95,0,1790,84000,71 ซม.,True,1790,typical
2026-01-17,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-17 11:15,2026-01-17 12:55,100,0,1590,82000,71 ซม.,False,1590,typical
2026-01-17,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-17 10:35,2026-01-17 12:10,95,0,1690,84000,71 ซม.,False,1690,typical
2026-01-17,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-17 13:45,2026-01-17 15:20,95,0,1690,84000,71 ซม.,True,1690,typical
2026-01-18,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-18 11:15,2026-01-18 12:55,100,0,1590,82000,71 ซม.,False,1590,typical
2026-01-18,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-18 10:35,2026-01-18 12:10,95,0,1690,84000,71 ซม.,False,1690,typical
2026-01-18,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-18 13:00,2026-01-18 14:35,95,0,1690,84000,71 ซม.,True,1690,typical
2026-01-19,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-19 11:15,2026-01-19 12:55,100,0,2550,82000,71 ซม.,False,2550,high
2026-01-19,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-19 10:35,2026-01-19 12:10,95,0,1790,84000,71 ซม.,False,1790,typical
2026-01-19,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-19 13:00,2026-01-19 14:35,95,0,1790,84000,71 ซม.,True,1790,typical
2026-01-20,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-20 11:15,2026-01-20 12:55,100,0,1790,82000,71 ซม.,False,1790,typical
2026-01-20,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-20 10:35,2026-01-20 12:10,95,0,1690,84000,71 ซม.,False,1690,typical
2026-01-20,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-20 13:45,2026-01-20 15:20,95,0,1690,84000,71 ซม.,True,1690,typical
2026-01-21,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-21 11:15,2026-01-21 12:55,100,0,1690,82000,71 ซม.,False,1690,typical
2026-01-21,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-21 10:35,2026-01-21 12:10,95,0,1590,84000,71 ซม.,False,1590,typical
2026-01-21,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-21 13:50,2026-01-21 15:20,90,0,1690,84000,71 ซม.,True,1590,typical
2026-01-22,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-22 11:15,2026-01-22 12:55,100,0,1590,82000,71 ซม.,False,1590,typical
2026-01-22,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-22 13:45,2026-01-22 15:20,95,0,1590,84000,71 ซม.,True,1590,typical
2026-01-22,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-22 10:35,2026-01-22 12:10,95,0,1690,84000,71 ซม.,False,1590,typical
2026-01-23,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-23 11:15,2026-01-23 12:55,100,0,1590,82000,71 ซม.,False,1590,typical
2026-01-23,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-23 10:35,2026-01-23 12:10,95,0,1590,84000,71 ซม.,False,1590,typical
2026-01-23,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-23 13:45,2026-01-23 15:20,95,0,1590,84000,71 ซม.,True,1590,typical
2026-01-24,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-24 11:15,2026-01-24 12:55,100,0,1690,82000,71 ซม.,False,1690,typical
2026-01-24,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-24 10:35,2026-01-24 12:10,95,0,1690,84000,71 ซม.,False,1690,typical
2026-01-24,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-24 13:45,2026-01-24 15:20,95,0,1690,84000,71 ซม.,True,1690,typical
2026-01-25,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-25 11:15,2026-01-25 12:55,100,0,1690,82000,71 ซม.,False,1690,typical
2026-01-25,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-25 10:35,2026-01-25 12:10,95,0,1590,84000,71 ซม.,False,1590,typical
2026-01-25,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-25 13:00,2026-01-25 14:35,95,0,1690,84000,71 ซม.,True,1590,typical
2026-01-26,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-26 11:15,2026-01-26 12:55,100,0,1500,82000,71 ซม.,False,1500,typical
2026-01-26,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-26 10:30,2026-01-26 12:05,95,0,1500,84000,71 ซม.,False,1500,typical
2026-01-26,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-26 13:50,2026-01-26 15:20,90,0,1500,84000,71 ซม.,True,1500,typical
2026-01-27,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-27 11:15,2026-01-27 12:55,100,0,1300,82000,71 ซม.,False,1300,typical
2026-01-27,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-27 10:35,2026-01-27 12:10,95,0,1300,84000,71 ซม.,False,1300,typical
2026-01-27,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-27 13:45,2026-01-27 15:20,95,0,1300,84000,71 ซม.,True,1300,typical
2026-01-28,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-28 11:15,2026-01-28 12:55,100,0,1300,82000,71 ซม.,False,1300,typical
2026-01-28,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-28 10:35,2026-01-28 12:10,95,0,1500,84000,71 ซม.,False,1500,typical
2026-01-28,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-28 13:50,2026-01-28 15:20,90,0,1500,84000,71 ซม.,True,1500,typical
2026-01-29,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-29 11:15,2026-01-29 12:55,100,0,1300,82000,71 ซม.,False,1300,typical
2026-01-29,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-29 10:35,2026-01-29 12:10,95,0,1300,84000,71 ซม.,False,1300,typical
2026-01-29,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-29 13:45,2026-01-29 15:20,95,0,1300,84000,71 ซม.,True,1300,typical
2026-01-30,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-30 11:15,2026-01-30 12:55,100,0,1500,82000,71 ซม.,False,1500,typical
2026-01-30,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-30 10:35,2026-01-30 12:10,95,0,1300,84000,71 ซม.,False,1300,typical
2026-01-30,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-30 13:55,2026-01-30 15:20,85,0,1300,84000,71 ซม.,True,1300,typical
2026-01-31,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-01-31 11:15,2026-01-31 12:55,100,0,1500,82000,71 ซม.,False,1500,typical
2026-01-31,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-01-31 10:35,2026-01-31 12:10,95,0,1500,84000,71 ซม.,False,1500,typical
2026-01-31,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-01-31 13:45,2026-01-31 15:20,95,0,1500,84000,71 ซม.,True,1500,typical
2026-02-01,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-02-01 11:15,2026-02-01 12:55,100,0,1500,82000,71 ซม.,False,,
2026-02-01,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-02-01 10:30,2026-02-01 12:05,95,0,1500,84000,71 ซม.,False,1500,typical
2026-02-01,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-02-01 13:00,2026-02-01 14:35,95,0,1500,84000,71 ซม.,True,1500,typical
2026-02-02,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-02-02 11:15,2026-02-02 12:55,100,0,1500,82000,71 ซม.,False,,
2026-02-02,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-02-02 10:30,2026-02-02 12:05,95,0,1500,84000,71 ซม.,False,1500,typical
2026-02-02,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-02-02 13:00,2026-02-02 14:35,95,0,1500,84000,71 ซม.,True,1500,typical
2026-02-03,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-02-03 11:15,2026-02-03 12:55,100,0,1300,82000,71 ซม.,False,,
2026-02-03,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-02-03 10:30,2026-02-03 12:05,95,0,1300,84000,71 ซม.,False,1300,typical
2026-02-03,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-02-03 13:00,2026-02-03 14:35,95,0,1300,84000,71 ซม.,True,1300,typical
2026-02-04,BKK-NAW,BKK,NAW,One way,แอร์เอเชีย,FD 4252,Airbus A320,Economy,2026-02-04 11:15,2026-02-04 12:55,100,0,1300,82000,71 ซม.,False,,
2026-02-04,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3130,Airbus A320,Economy,2026-02-04 10:30,2026-02-04 12:05,95,0,1300,84000,71 ซม.,False,1300,typical
2026-02-04,DMK-NAW,DMK,NAW,One way,แอร์เอเชีย,FD 3134,Airbus A320,Economy,2026-02-04 13:00,2026-02-04 14:35,95,0,1300,84000,71 ซม.,True,1300,typical
