search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-13 09:05,2026-01-13 10:20,75,0,1128,66000,74 ซม.,False,1128,low
2026-01-13,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-13 11:40,2026-01-13 12:55,75,0,1200,66000,71 ซม.,False,1128,low
2026-01-13,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320neo,Economy,2026-01-13 17:35,2026-01-13 18:45,70,0,1200,55000,71 ซม.,True,1128,low
2026-01-13,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-13 08:10,2026-01-13 09:25,75,0,1390,66000,71 ซม.,True,1128,low
2026-01-14,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-14 11:40,2026-01-14 12:55,75,0,1200,66000,71 ซม.,False,1200,typical
2026-01-14,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3558,Airbus A320,Economy,2026-01-14 12:55,2026-01-14 14:10,75,0,1200,66000,71 ซม.,True,1200,typical
2026-01-14,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-14 09:05,2026-01-14 10:20,75,0,1228,66000,74 ซม.,False,1200,typical
2026-01-14,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320neo,Economy,2026-01-14 17:35,2026-01-14 18:45,70,0,1390,55000,71 ซม.,True,1200,typical
2026-01-14,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-14 08:10,2026-01-14 09:25,75,0,1590,66000,71 ซม.,True,1200,typical
2026-01-15,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-15 09:05,2026-01-15 10:20,75,0,2128,66000,74 ซม.,False,2128,high
2026-01-15,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320neo,Economy,2026-01-15 17:35,2026-01-15 18:45,70,0,3150,55000,71 ซม.,True,2128,high
2026-01-15,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-15 11:40,2026-01-15 12:55,75,0,4650,66000,71 ซม.,False,2128,high
2026-01-15,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-15 08:10,2026-01-15 09:25,75,0,5350,66000,71 ซม.,True,2128,high
2026-01-16,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-16 09:05,2026-01-16 10:20,75,0,1878,66000,74 ซม.,False,1878,high
2026-01-16,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320,Economy,2026-01-16 18:10,2026-01-16 19:20,70,0,2150,66000,71 ซม.,True,1878,high
2026-01-16,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-16 11:40,2026-01-16 12:55,75,0,2451,66000,71 ซม.,False,1878,high
2026-01-16,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3558,Airbus A320,Economy,2026-01-16 12:55,2026-01-16 14:10,75,0,2451,66000,71 ซม.,True,1878,high
2026-01-16,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-16 08:15,2026-01-16 09:30,75,0,3150,66000,71 ซม.,True,1878,high
2026-01-17,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-17 12:50,2026-01-17 14:05,75,0,1590,66000,71 ซม.,False,1590,high
2026-01-17,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320,Economy,2026-01-17 17:45,2026-01-17 18:55,70,0,1590,66000,71 ซม.,True,1590,high
2026-01-17,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-17 09:05,2026-01-17 10:20,75,0,1878,66000,74 ซม.,False,1590,high
2026-01-17,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-17 08:10,2026-01-17 09:20,70,0,2451,66000,71 ซม.,True,1590,high
2026-01-18,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-18 11:40,2026-01-18 12:55,75,0,1200,66000,71 ซม.,False,1200,typical
2026-01-18,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3558,Airbus A320,Economy,2026-01-18 12:55,2026-01-18 14:10,75,0,1200,66000,71 ซม.,True,1200,typical
2026-01-18,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-18 09:05,2026-01-18 10:20,75,0,1228,66000,74 ซม.,False,1200,typical
2026-01-18,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-18 08:05,2026-01-18 09:20,75,0,1200,66000,71 ซม.,True,1200,typical
2026-01-18,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320,Economy,2026-01-18 17:35,2026-01-18 18:45,70,0,1590,66000,71 ซม.,True,1200,typical
2026-01-19,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-19 11:40,2026-01-19 12:55,75,0,1200,66000,71 ซม.,False,1200,typical
2026-01-19,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3558,Airbus A320,Economy,2026-01-19 13:40,2026-01-19 14:55,75,0,1200,66000,71 ซม.,True,1200,typical
2026-01-19,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-19 08:05,2026-01-19 09:20,75,0,1200,66000,71 ซม.,True,1200,typical
2026-01-19,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-19 09:05,2026-01-19 10:20,75,0,1228,66000,74 ซม.,False,1200,typical
2026-01-19,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320,Economy,2026-01-19 17:35,2026-01-19 18:45,70,0,1390,66000,71 ซม.,True,1200,typical
2026-01-20,DMK-NNT,DMK,NNT,One way,นกแอร์,DD 170,Boeing 737,Economy,2026-01-20 09:05,2026-01-20 10:20,75,0,1128,66000,74 ซม.,False,1128,low
2026-01-20,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3554,Airbus A320,Economy,2026-01-20 08:10,2026-01-20 09:25,75,0,1200,66000,71 ซม.,True,1128,low
2026-01-20,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-20 11:40,2026-01-20 12:55,75,0,1200,66000,71 ซม.,False,1128,low
2026-01-20,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320,Economy,2026-01-20 17:30,2026-01-20 18:45,75,0,1200,66000,71 ซม.,True,1128,low
2026-01-21,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3552,Airbus A320,Economy,2026-01-21 11:40,2026-01-21 12:55,75,0,1200,66000,71 ซม.,False,1200,typical
2026-01-21,DMK-NNT,DMK,NNT,One way,แอร์เอเชีย,FD 3556,Airbus A320,Economy,2026-01-21 17:35,2026-01-21 18:45,70,0,1200,66000,71 ซม.,True,1200,typical
