search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-NST,BKK,NST,One way,แอร์เอเชีย,FD 4231,Airbus A320,Economy,2026-01-13 10:40,2026-01-13 12:05,85,0,1000,68000,71 ซม.,False,1000,typical
2026-01-13,BKK-NST,BKK,NST,One way,ไทยเวียดเจ๊ทแอร์,VZ 330,Airbus A320,Economy,2026-01-13 06:05,2026-01-13 07:30,85,0,,68000,71 ซม.,False,1000,typical
2026-01-13,BKK-NST,BKK,NST,One way,ไทยเวียดเจ๊ทแอร์,VZ 334,Airbus A320,Economy,2026-01-13 13:10,2026-01-13 14:30,80,0,,68000,71 ซม.,True,1000,typical
2026-01-13,DMK-NST,DMK,NST,One way,ไทยไลอ้อนแอร์,SL 784,Boeing 737,Economy,2026-01-13 11:30,2026-01-13 12:40,70,0,800,69000,79 ซม.,False,800,low
2026-01-13,DMK-NST,DMK,NST,One way,ไทยไลอ้อนแอร์,SL 788,Boeing 737,Economy,2026-01-13 14:30,2026-01-13 15:40,70,0,800,69000,79 ซม.,True,800,low
2026-01-13,DMK-NST,DMK,NST,One way,ไทยไลอ้อนแอร์,SL 792,Boeing 737,Economy,2026-01-13 17:25,2026-01-13 18:35,70,0,800,69000,79 ซม.,False,800,low
2026-01-13,DMK-NST,DMK,NST,One way,ไทยไลอ้อนแอร์,SL 786,Boeing 737,Economy,2026-01-13 13:20,2026-01-13 14:40,80,0,800,69000,79 ซม.,False,800,low
2026-01-13,DMK-NST,DMK,NST,One way,ไทยไลอ้อนแอร์,SL 794,Boeing 737,Economy,2026-01-13 18:45,2026-01-13 20:00,75,0,800,69000,79 ซม.,True,800,low
2026-01-13,DMK-NST,DMK,NST,One way,ไทยไลอ้อนแอร์,SL 782,Boeing 737,Economy,2026-01-13 07:00,2026-01-13 08:15,75,0,1125,69000,79 ซม.,False,800,low
2026-01-13,DMK-NST,DMK,NST,One way,แอร์เอเชีย,FD 3180,Airbus A320,Economy,2026-01-13 15:10,2026-01-13 16:30,80,0,1250,68000,71 ซม.,True,800,low
2026-01-13,DMK-NST,DMK,NST,One way,แอร์เอเชีย,FD 3182,Airbus A320,Economy,2026-01-13 19:15,2026-01-13 20:35,80,0,1250,68000,71 ซม.,True,800,low
2026-01-13,DMK-NST,DMK,NST,One way,นกแอร์,DD 554,Boeing 737,Economy,2026-01-13 11:55,2026-01-13 13:25,90,0,1278,69000,74 ซม.,False,800,low
2026-01-13,DMK-NST,DMK,NST,One way,แอร์เอเชีย,FD 3188,Airbus A320,Economy,2026-01-13 07:10,2026-01-13 08:30,80,0,1450,68000,71 ซม.,False,800,low
2026-01-13,DMK-NST,DMK,NST,One way,แอร์เอเชีย,FD 3184,Airbus A320,Economy,2026-01-13 10:30,2026-01-13 11:50,80,0,1450,68000,71 ซม.,True,800,low
2026-01-14,BKK-NST,BKK,NST,One way,แอร์เอเชีย,FD 4231,Airbus A320,Economy,2026-01-14 10:40,2026-01-14 12:05,85,0,1200,68000,71 ซม.,False,1200,typical
2026-01-14,BKK-NST,BKK,NST,One way,ไทยเวียดเจ๊ทแอร์,VZ 330,Airbus A320,Economy,2026-01-14 06:05,2026-01-14 07:30,85,0,,68000,71 ซม.,False,1200,typical
2026-01-14,BKK-NST,BKK,NST,One way,ไทยเวียดเจ๊ทแอร์,VZ 334,Airbus A320,Economy,2026-01-14 13:10,2026-01-14 14:30,80,0,,68000,71 ซม.,True,1200,typical
2026-01-14,DMK-NST,DMK,NST,One way,ไทยไลอ้อนแอร์,SL 782,Boeing 737,Economy,2026-01-14 07:00,2026-01-14 08:15,75,0,800,69000,79 ซม.,False,800,low
