search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-13 06:05,2026-01-13 07:20,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-13,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-13 06:35,2026-01-13 07:45,70,0,1400,67000,71 ซม.,False,1128,typical
2026-01-13,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-13 13:15,2026-01-13 14:35,80,0,1650,67000,71 ซม.,False,1128,typical
2026-01-14,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-14 06:05,2026-01-14 07:20,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-14,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 368,Boeing 737,Economy,2026-01-14 15:45,2026-01-14 17:00,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-14,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-14 06:35,2026-01-14 07:45,70,0,1200,67000,71 ซม.,False,1128,typical
2026-01-14,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-14 13:15,2026-01-14 14:35,80,0,1400,67000,71 ซม.,False,1128,typical
2026-01-15,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-15 06:05,2026-01-15 07:20,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-15,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-15 06:35,2026-01-15 07:45,70,0,1400,67000,71 ซม.,False,1128,typical
2026-01-15,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-15 13:15,2026-01-15 14:35,80,0,2550,67000,71 ซม.,False,1128,typical
2026-01-16,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-16 06:05,2026-01-16 07:20,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-16,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-16 06:50,2026-01-16 08:05,75,0,1400,67000,71 ซม.,False,1128,typical
2026-01-16,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 368,Boeing 737,Economy,2026-01-16 15:45,2026-01-16 17:00,75,0,1478,68000,74 ซม.,False,1128,typical
2026-01-16,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320neo,Economy,2026-01-16 13:15,2026-01-16 14:35,80,0,1950,56000,71 ซม.,False,1128,typical
2026-01-17,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-17 06:05,2026-01-17 07:20,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-17,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-17 06:40,2026-01-17 07:50,70,0,1400,67000,71 ซม.,False,1128,typical
2026-01-17,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-17 14:25,2026-01-17 15:40,75,0,1950,67000,71 ซม.,False,1128,typical
2026-01-18,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-18 06:05,2026-01-18 07:20,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-18,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-18 06:40,2026-01-18 07:50,70,0,1200,67000,71 ซม.,False,1128,typical
2026-01-18,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 368,Boeing 737,Economy,2026-01-18 15:45,2026-01-18 17:00,75,0,2278,68000,74 ซม.,False,1128,typical
2026-01-19,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-19 06:05,2026-01-19 07:20,75,0,1728,68000,74 ซม.,False,1728,high
2026-01-19,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 368,Boeing 737,Economy,2026-01-19 15:45,2026-01-19 17:00,75,0,1728,68000,74 ซม.,False,1728,high
2026-01-19,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-19 06:40,2026-01-19 07:50,70,0,1950,67000,71 ซม.,False,1728,high
2026-01-19,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-19 13:15,2026-01-19 14:35,80,0,2250,67000,71 ซม.,False,1728,high
2026-01-20,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-20 06:05,2026-01-20 07:20,75,0,1128,68000,74 ซม.,False,1128,typical
2026-01-20,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-20 06:40,2026-01-20 07:50,70,0,1200,67000,71 ซม.,False,1128,typical
2026-01-20,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-20 13:15,2026-01-20 14:35,80,0,1650,67000,71 ซม.,False,1128,typical
2026-01-21,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-21 06:40,2026-01-21 07:50,70,0,1200,67000,71 ซม.,False,1200,typical
2026-01-21,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-21 06:05,2026-01-21 07:20,75,0,1228,68000,74 ซม.,False,1200,typical
2026-01-21,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-21 13:15,2026-01-21 14:35,80,0,1400,67000,71 ซม.,False,1200,typical
2026-01-21,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 368,Boeing 737,Economy,2026-01-21 15:45,2026-01-21 17:00,75,0,1478,68000,74 ซม.,False,1200,typical
2026-01-22,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-22 06:40,2026-01-22 07:50,70,0,1200,67000,71 ซม.,False,1200,typical
2026-01-22,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3514,Airbus A320,Economy,2026-01-22 13:15,2026-01-22 14:35,80,0,1200,67000,71 ซม.,False,1200,typical
2026-01-22,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-22 06:05,2026-01-22 07:20,75,0,1228,68000,74 ซม.,False,1200,typical
2026-01-23,DMK-SNO,DMK,SNO,One way,แอร์เอเชีย,FD 3510,Airbus A320,Economy,2026-01-23 06:50,2026-01-23 08:05,75,0,1200,67000,71 ซม.,False,1200,typical
2026-01-23,DMK-SNO,DMK,SNO,One way,นกแอร์,DD 360,Boeing 737,Economy,2026-01-23 06:05,2026-01-23 07:20,75,0,1228,68000,74 ซม.,False,1200,typical
