search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 301,ATR 42/72,Economy,2026-01-13 08:10,2026-01-13 09:10,60,0,4530,33000,76 ซม.,False,4530,typical
2026-01-13,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 305,ATR 42/72,Economy,2026-01-13 12:45,2026-01-13 13:45,60,0,4995,33000,76 ซม.,False,4530,typical
2026-01-13,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 307,ATR 42/72,Economy,2026-01-13 16:15,2026-01-13 17:15,60,0,4995,33000,76 ซม.,False,4530,typical
2026-01-14,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 307,ATR 42/72,Economy,2026-01-14 16:15,2026-01-14 17:15,60,0,4930,33000,76 ซม.,False,4930,typical
2026-01-14,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 305,ATR 42/72,Economy,2026-01-14 12:45,2026-01-14 13:45,60,0,,33000,76 ซม.,False,4930,typical
2026-01-15,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 307,ATR 42/72,Economy,2026-01-15 16:15,2026-01-15 17:15,60,0,4130,33000,76 ซม.,False,4130,typical
2026-01-15,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 301,ATR 42/72,Economy,2026-01-15 08:10,2026-01-15 09:10,60,0,4995,33000,76 ซม.,False,4130,typical
2026-01-15,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 305,ATR 42/72,Economy,2026-01-15 12:45,2026-01-15 13:45,60,0,4995,33000,76 ซม.,False,4130,typical
2026-01-16,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 307,ATR 42/72,Economy,2026-01-16 16:15,2026-01-16 17:15,60,0,4130,33000,76 ซม.,False,4130,typical
2026-01-16,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 301,ATR 42/72,Economy,2026-01-16 08:10,2026-01-16 09:10,60,0,4995,33000,76 ซม.,False,4130,typical
2026-01-17,BKK-TDX,BKK,TDX,One way,บางกอกแอร์เวย์ส,PG 307,ATR 42/72,Economy,2026-01-17 16:15,2026-01-17 17:15,60,0,4530,33000,76 ซม.,False,4530,typical
