search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,DMK-TST,DMK,TST,One way,ไทยไลอ้อนแอร์,SL 824,Boeing 737,Economy,2026-01-13 08:05,2026-01-13 09:30,85,0,1325,78000,79 ซม.,False,1325,typical
2026-01-13,DMK-TST,DMK,TST,One way,นกแอร์,DD 592,Boeing 737,Economy,2026-01-13 12:40,2026-01-13 14:10,90,0,1428,78000,74 ซม.,False,1325,typical
2026-01-13,DMK-TST,DMK,TST,One way,ไทยไลอ้อนแอร์,SL 826,Boeing 737,Economy,2026-01-13 15:30,2026-01-13 16:55,85,0,1525,78000,79 ซม.,False,1325,typical
2026-01-13,DMK-TST,DMK,TST,One way,แอร์เอเชีย,FD 3241,Airbus A320,Economy,2026-01-13 07:50,2026-01-13 09:20,90,0,1800,78000,71 ซม.,False,1325,typical
2026-01-13,DMK-TST,DMK,TST,One way,แอร์เอเชีย,FD 3245,Airbus A320,Economy,2026-01-13 17:40,2026-01-13 19:05,85,0,1850,78000,71 ซม.,True,1325,typical
2026-01-14,DMK-TST,DMK,TST,One way,นกแอร์,DD 590,Boeing 737,Economy,2026-01-14 06:50,2026-01-14 08:20,90,0,1078,78000,74 ซม.,False,1078,typical
2026-01-14,DMK-TST,DMK,TST,One way,ไทยไลอ้อนแอร์,SL 824,Boeing 737,Economy,2026-01-14 08:05,2026-01-14 09:30,85,0,1325,78000,79 ซม.,False,1078,typical
2026-01-14,DMK-TST,DMK,TST,One way,ไทยไลอ้อนแอร์,SL 826,Boeing 737,Economy,2026-01-14 15:30,2026-01-14 16:55,85,0,1325,78000,79 ซม.,False,1078,typical
2026-01-14,DMK-TST,DMK,TST,One way,แอร์เอเชีย,FD 3241,Airbus A320,Economy,2026-01-14 07:50,2026-01-14 09:20,90,0,1800,78000,71 ซม.,False,1078,typical
2026-01-14,DMK-TST,DMK,TST,One way,นกแอร์,DD 592,Boeing 737,Economy,2026-01-14 12:40,2026-01-14 14:10,90,0,1828,78000,74 ซม.,False,1078,typical
2026-01-14,DMK-TST,DMK,TST,One way,แอร์เอเชีย,FD 3245,Airbus A320,Economy,2026-01-14 17:40,2026-01-14 19:05,85,0,1850,78000,71 ซม.,True,1078,typical
2026-01-15,DMK-TST,DMK,TST,One way,ไทยไลอ้อนแอร์,SL 824,Boeing 737,Economy,2026-01-15 08:05,2026-01-15 09:30,85,0,1525,78000,79 ซม.,False,1525,high
2026-01-15,DMK-TST,DMK,TST,One way,ไทยไลอ้อนแอร์,SL 826,Boeing 737,Economy,2026-01-15 15:30,2026-01-15 16:55,85,0,1525,78000,79 ซม.,False,1525,high
2026-01-15,DMK-TST,DMK,TST,One way,นกแอร์,DD 592,Boeing 737,Economy,2026-01-15 12:40,2026-01-15 14:10,90,0,1828,78000,74 ซม.,False,1525,high
