search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-URT,BKK,URT,One way,แอร์เอเชีย,FD 4212,Airbus A320,Economy,2026-01-13 07:30,2026-01-13 08:55,85,0,1500,66000,71 ซม.,False,1500,high
2026-01-13,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 350,Boeing 737,Economy,2026-01-13 09:35,2026-01-13 10:50,75,0,,84000,71 ซม.,True,1500,high
2026-01-13,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 354,Boeing 737,Economy,2026-01-13 11:50,2026-01-13 13:00,70,0,,84000,71 ซม.,False,1500,high
2026-01-13,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 352,Boeing 737,Economy,2026-01-13 17:00,2026-01-13 18:20,80,0,,84000,71 ซม.,False,1500,high
2026-01-13,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 734,Boeing 737,Economy,2026-01-13 07:25,2026-01-13 08:40,75,0,1125,61000,74 ซม.,False,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 746,Boeing 737,Economy,2026-01-13 16:45,2026-01-13 18:00,75,0,1125,67000,79 ซม.,False,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 740,Boeing 737,Economy,2026-01-13 14:35,2026-01-13 15:55,80,0,1225,67000,79 ซม.,False,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3233,Airbus A320,Economy,2026-01-13 17:55,2026-01-13 19:10,75,0,1350,67000,71 ซม.,True,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3327,Airbus A320,Economy,2026-01-13 19:15,2026-01-13 20:30,75,0,1350,67000,71 ซม.,True,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 736,Boeing 737,Economy,2026-01-13 12:25,2026-01-13 13:40,75,0,1425,67000,79 ซม.,False,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,นกแอร์,DD 572,Boeing 737,Economy,2026-01-13 09:20,2026-01-13 10:40,80,0,1478,67000,74 ซม.,False,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3235,Airbus A321neo,Economy,2026-01-13 06:50,2026-01-13 08:10,80,0,1500,50000,71 ซม.,False,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3331,Airbus A320,Economy,2026-01-13 15:50,2026-01-13 17:10,80,0,1500,67000,71 ซม.,True,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3237,Airbus A320,Economy,2026-01-13 09:45,2026-01-13 11:05,80,0,1850,67000,71 ซม.,False,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3239,Airbus A320,Economy,2026-01-13 11:15,2026-01-13 12:25,70,0,1850,67000,71 ซม.,True,1125,typical
2026-01-13,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3231,Airbus A320,Economy,2026-01-13 13:15,2026-01-13 14:30,75,0,1850,67000,71 ซม.,True,1125,typical
2026-01-14,BKK-URT,BKK,URT,One way,แอร์เอเชีย,FD 4212,Airbus A320,Economy,2026-01-14 07:30,2026-01-14 08:55,85,0,1500,66000,71 ซม.,False,1500,high
2026-01-14,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 350,Boeing 737,Economy,2026-01-14 09:35,2026-01-14 10:50,75,0,,84000,71 ซม.,True,1500,high
2026-01-14,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 352,Boeing 737,Economy,2026-01-14 17:00,2026-01-14 18:20,80,0,,84000,71 ซม.,False,1500,high
2026-01-14,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 740,Boeing 737,Economy,2026-01-14 14:35,2026-01-14 15:55,80,0,800,67000,79 ซม.,False,800,low
2026-01-14,DMK-URT,DMK,URT,One way,นกแอร์,DD 578,Boeing 737,Economy,2026-01-14 16:10,2026-01-14 17:25,75,0,1028,67000,74 ซม.,False,800,low
2026-01-14,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 746,Boeing 737,Economy,2026-01-14 16:45,2026-01-14 18:00,75,0,1125,61000,74 ซม.,False,800,low
2026-01-14,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 734,Boeing 737,Economy,2026-01-14 07:25,2026-01-14 08:40,75,0,1225,67000,79 ซม.,False,800,low
2026-01-14,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3235,Airbus A321neo,Economy,2026-01-14 06:50,2026-01-14 08:10,80,0,1350,50000,71 ซม.,False,800,low
2026-01-14,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3233,Airbus A320,Economy,2026-01-14 18:10,2026-01-14 19:30,80,0,1350,67000,71 ซม.,True,800,low
2026-01-14,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3327,Airbus A320,Economy,2026-01-14 19:40,2026-01-14 20:55,75,0,1500,67000,71 ซม.,True,800,low
2026-01-14,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 736,Boeing 737,Economy,2026-01-14 12:25,2026-01-14 13:40,75,0,1825,67000,79 ซม.,False,800,low
2026-01-14,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3331,Airbus A320,Economy,2026-01-14 15:50,2026-01-14 17:10,80,0,1850,67000,71 ซม.,True,800,low
2026-01-14,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3237,Airbus A320,Economy,2026-01-14 09:00,2026-01-14 10:15,75,0,2200,67000,71 ซม.,False,800,low
2026-01-14,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3231,Airbus A320,Economy,2026-01-14 13:15,2026-01-14 14:30,75,0,2200,67000,71 ซม.,True,800,low
2026-01-15,BKK-URT,BKK,URT,One way,แอร์เอเชีย,FD 4212,Airbus A320,Economy,2026-01-15 07:30,2026-01-15 08:55,85,0,1500,66000,71 ซม.,False,1500,high
2026-01-15,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 350,Boeing 737,Economy,2026-01-15 09:35,2026-01-15 10:50,75,0,,84000,71 ซม.,True,1500,high
2026-01-15,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 354,Boeing 737,Economy,2026-01-15 11:50,2026-01-15 13:00,70,0,,84000,71 ซม.,False,1500,high
2026-01-15,BKK-URT,BKK,URT,One way,ไทยเวียดเจ๊ทแอร์,VZ 352,Boeing 737,Economy,2026-01-15 17:00,2026-01-15 18:20,80,0,,84000,71 ซม.,False,1500,high
2026-01-15,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 740,Boeing 737,Economy,2026-01-15 14:35,2026-01-15 15:55,80,0,1125,67000,79 ซม.,False,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 746,Boeing 737,Economy,2026-01-15 16:45,2026-01-15 18:00,75,0,1125,67000,79 ซม.,False,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 736,Boeing 737,Economy,2026-01-15 12:25,2026-01-15 13:40,75,0,1225,67000,79 ซม.,False,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,นกแอร์,DD 572,Boeing 737,Economy,2026-01-15 09:20,2026-01-15 10:40,80,0,1278,67000,74 ซม.,False,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,ไทยไลอ้อนแอร์,SL 734,Boeing 737,Economy,2026-01-15 07:25,2026-01-15 08:40,75,0,1225,67000,79 ซม.,False,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3331,Airbus A320,Economy,2026-01-15 15:50,2026-01-15 17:10,80,0,1350,67000,71 ซม.,True,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3233,Airbus A320,Economy,2026-01-15 18:10,2026-01-15 19:30,80,0,1350,67000,71 ซม.,True,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3327,Airbus A320,Economy,2026-01-15 19:15,2026-01-15 20:30,75,0,1350,67000,71 ซม.,True,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3235,Airbus A321neo,Economy,2026-01-15 06:50,2026-01-15 08:10,80,0,1500,50000,71 ซม.,False,1125,typical
2026-01-15,DMK-URT,DMK,URT,One way,แอร์เอเชีย,FD 3237,Airbus A320,Economy,2026-01-15 09:45,2026-01-15 11:05,80,0,1500,67000,71 ซม.,False,1125,typical
