search_date,route,departure_id,arrival_id,trip_type,airline,flight_number,airplane,travel_class,departure_time,arrival_time,total_duration,stops,price,carbon_emissions,legroom,often_delayed,lowest_price,price_level
2026-01-13,BKK-UTP,BKK,UTP,One way,บางกอกแอร์เวย์ส,PG 287,Airbus A319,Economy,2026-01-13 21:30,2026-01-14 16:50,1160,1,8855,167000,76 ซม.,False,8855,typical
2026-01-13,BKK-UTP,BKK,UTP,One way,บางกอกแอร์เวย์ส,PG 271,Airbus A320,Economy,2026-01-13 08:00,2026-01-13 16:50,530,1,11865,147000,79 ซม.,False,8855,typical
2026-01-13,DMK-UTP,DMK,UTP,One way,ไทยไลอ้อนแอร์,SL 502,Boeing 737,Economy,2026-01-13 06:05,2026-01-13 14:35,510,1,3650,136000,79 ซม.,False,3650,typical
2026-01-13,DMK-UTP,DMK,UTP,One way,ไทยไลอ้อนแอร์,SL 506,Boeing 737,Economy,2026-01-13 08:35,2026-01-13 14:35,360,1,4450,136000,79 ซม.,False,3650,typical
2026-01-14,BKK-UTP,BKK,UTP,One way,บางกอกแอร์เวย์ส,PG 287,Airbus A319,Economy,2026-01-14 21:30,2026-01-15 16:50,1160,1,9655,167000,76 ซม.,False,9655,high
2026-01-14,BKK-UTP,BKK,UTP,One way,บางกอกแอร์เวย์ส,PG 271,Airbus A320,Economy,2026-01-14 08:00,2026-01-14 16:50,530,1,11865,147000,79 ซม.,False,9655,high
2026-01-14,DMK-UTP,DMK,UTP,One way,ไทยไลอ้อนแอร์,SL 502,Boeing 737,Economy,2026-01-14 06:05,2026-01-15 14:35,1950,1,4550,136000,79 ซม.,False,4550,typical
2026-01-14,DMK-UTP,DMK,UTP,One way,ไทยไลอ้อนแอร์,SL 520,Boeing 737,Economy,2026-01-14 19:35,2026-01-15 14:35,1140,1,4750,130000,74 ซม.,True,4550,typical
2026-01-15,BKK-UTP,BKK,UTP,One way,บางกอกแอร์เวย์ส,PG 287,Airbus A319,Economy,2026-01-15 21:30,2026-01-16 16:50,1160,1,11955,167000,76 ซม.,False,11955,high
2026-01-15,DMK-UTP,DMK,UTP,One way,ไทยไลอ้อนแอร์,SL 616,Boeing 737,Economy,2026-01-15 19:05,2026-01-16 12:15,1030,1,2125,125000,74 ซม.,True,2125,low
2026-01-15,DMK-UTP,DMK,UTP,One way,ไทยไลอ้อนแอร์,SL 502,Boeing 737,Economy,2026-01-15 06:05,2026-01-15 14:35,510,1,4750,130000,74 ซม.,False,2125,low
2026-01-15,DMK-UTP,DMK,UTP,One way,ไทยไลอ้อนแอร์,SL 506,Boeing 737,Economy,2026-01-15 08:35,2026-01-15 14:35,360,1,5050,136000,79 ซม.,False,2125,low
2026-01-16,BKK-UTP,BKK,UTP,One way,บางกอกแอร์เวย์ส,PG 191,ATR 42/72,Economy,2026-01-16 19:15,2026-01-17 12:20,1025,1,10955,97000,76 ซม.,True,10955,high
2026-01-16,BKK-UTP,BKK,UTP,One way,บางกอกแอร์เวย์ส,PG 193,Airbus A319,Economy,2026-01-16 19:25,2026-01-17 12:20,1015,1,11195,117000,76 ซม.,True,10955,high
